"DIMENSION","VALUE","STEP","PATIENTS"
"payer_name","Massachusetts Medicaid",2,109
"payer_name","BayCare Health Plans",2,106
"payer_name","Samaritan Health Services",2,105
"payer_name","Texas Medicaid",2,103
"payer_name","Illinois Medicaid",2,103
"payer_name","Michigan Medicaid",2,102
"payer_name","Arkansas Medicaid",2,101
"payer_name","SS&C Health",2,100
"payer_name","Johns Hopkins Health Plans",2,99
"payer_name","Summa Health",2,99
"payer_name","Dignity Health",2,96
"payer_name","Visiting Nurse Service Health",2,92
"payer_name","Vision Services Plan",2,89
"payer_name","United Networks of America",2,89
"payer_name","Blue Cross and Blue Shield of Vermont",2,87
"payer_name","McLaren Health Care",2,87
"payer_name","Rightway Health",2,85
"payer_name","BeneCard Prescription Benefit Facilitator",2,80
"payer_name","Alabama Medicaid",2,79
"payer_name","Partnership HealthPlan of California",2,76
"payer_name","Georgia State Health Benefit Plan",2,75
"payer_name","Oklahoma Medicaid",2,74
"payer_name","TrueScripts",2,74
"payer_name","Aspire Health Plan",2,74
"payer_name","Memorial Hermann Health Plan",2,74
"payer_name","Maine Medicaid",2,74
"payer_name","Accessia Health",2,73
"payer_name","AmerisourceBergen",2,73
"payer_name","Valley Care (IPA)",2,72
"payer_name","Ventegra",2,72
"payer_name","Health Plan of San Joaquin",2,70
"payer_name","WellSense Health Plan",2,70
"payer_name","Jefferson Health",2,69
"payer_name","Kentucky Medicaid",2,68
"payer_name","Sutter Health",2,66
"payer_name","Alliance Health",2,64
"payer_name","Upper Peninsula Health Plan",2,63
"payer_name","Indiana Medicaid",2,62
"payer_name","Mississippi Medicaid",2,61
"payer_name","Partners for Health",2,60
"payer_name","Fallon Health",2,58
"payer_name","CHRISTUS Health",2,57
"payer_name","North Dakota Medicaid",2,57
"payer_name","Central California Alliance for Health",2,57
"payer_name","Mass General Brigham",2,55
"payer_name","Oregon Medicaid",2,55
"payer_name","Nevada Medicaid",2,54
"payer_name","Health First",2,53
"payer_name","Health Plan of San Mateo",2,53
"payer_name","Gold Coast Health Plan",2,53
"payer_name","Geico",2,53
"payer_name","Quartz Health Solutions",2,52
"payer_name","Alliant Health Plans",2,51
"payer_name","Baystate Health",2,50
"payer_name","Washington Medicaid",2,48
"payer_name","CareOregon",2,48
"payer_name","Blue Cross Blue Shield of North Dakota",2,48
"payer_name","Florida Medicaid",2,48
"payer_name","Minnesota Medicaid",2,45
"payer_name","Moda Health",2,45
"payer_name","CerpassRx",2,45
"payer_name","Solis Health Plans",2,43
"payer_name","Blue Care Network",2,43
"payer_name","Employers Health Options",2,41
"payer_name","VillageCareMAX",2,41
"payer_name","Essence Healthcare",2,41
"payer_name","Employee Health Insurance Management",2,40
"payer_name","Doctors HealthCare Plans",2,40
"payer_name","Torrance Hospital (IPA)",2,40
"payer_name","Community Health Group",2,38
"payer_name","New York City Health + Hospitals",2,35
"payer_name","Kansas Medicaid",2,35
"payer_name","Phoenix Pharmacy Benefits Management",2,33
"payer_name","South Carolina Medicaid",2,33
"payer_name","Idaho Medicaid",2,32
"payer_name","Opus Health",2,31
"payer_name","Commonwealth of Pennsylvania",2,30
"payer_name","Community Health Plan of Washington",2,30
"payer_name","Health Partners",2,30
"payer_name","Zing Health",2,28
"payer_name","Clever Care Health Plan",2,28
"payer_name","Restat",2,28
"payer_name","Florida Community Care",2,27
"payer_name","Alameda Alliance for Health",2,27
"payer_name","Hawaii Medicaid",2,27
"payer_name","Utah Medicaid",2,24
"payer_name","Elderplan and HomeFirst",2,24
"payer_name","Louisiana Medicaid",2,23
"payer_name","Community Health Choice",2,22
"payer_name","Advanced Medical Management (IPA)",2,22
"payer_name","Vermont Medicaid",2,21
"payer_name","New Jersey Department of Health",2,20
"payer_name","University of Utah Health",2,20
"payer_name","Rhode Island Medicaid",2,19
"payer_name","Ochsner Health",2,19
"payer_name","AlohaCare",2,19
"payer_name","AmeriHealth Caritas PA",2,19
"payer_name","Medical Card System",2,18
"payer_name","Employee Health Options",2,18
"payer_name","Curative Health Plan",2,18
"payer_name","Virginia Medicaid",2,17
"payer_name","Avera Health Plans",2,16
"payer_name","MedOne",2,16
"payer_name","West Virginia University Medicine",2,16
"payer_name","PharmPix",2,15
"payer_name","Maryland Medicaid",2,15
"payer_name","Citizens Rx",2,15
"payer_name","Access Medical Group (IPA)",2,15
"payer_name","New Jersey Medicaid",2,15
"payer_name","Alaska Medicaid",2,15
"payer_name","Neighborhood Health Plan of Rhode Island",2,15
"payer_name","State Farm",2,15
"payer_name","Adventist Health Care Network (IPA)",2,15
"payer_name","Buckeye Health",2,15
"payer_name","Advocate Physician Partners (PHO)",2,15
"payer_name","Health Alliance Plan",2,14
"payer_name","ConnectiveRx",2,14
"payer_name","RxCut",2,14
"payer_name","Hamaspik",2,14
"payer_name","UMass Memorial Health",2,13
"payer_name","Contra Costa Health",2,13
"payer_name","Disclosed Rx",2,13
"payer_name","Amazon",2,13
"payer_name","Ohio Health",2,12
"payer_name","Change Healthcare",2,12
"payer_name","AscellaHealth",2,12
"payer_name","HealthSmartRx Solutions",2,11
"payer_name","Jai Medical Systems Managed Care Organization",2,11
"payer_name","American Health Partners",2,11
"payer_name","Mountain Health CO-OP",2,11
"payer_name","CalCPA",2,11
"payer_name","Pennsylvania Medicaid",2,11
"payer_name","South Dakota Medicaid",2,10
"payer_name","District of Columbia Medicaid",2,9
"payer_name","Abarca Health",2,9
"payer_name","The Assistance Fund",2,9
"payer_name","Arizona Medicaid",2,8
"payer_name","Liberty Medicare Advantage",2,8
"payer_name","Script Relief",2,8
"payer_name","CoxHealth",2,8
"payer_name","LucyRx",2,7
"payer_name","New Hampshire Medicaid",2,6
"payer_name","Ramsell",2,6
"payer_name","Simpra Advantage",2,6
"payer_name","Delaware Medicaid",2,5
"payer_name","MedStar Health",2,5
"payer_name","Samaritan Health Plans",2,5
"payer_name","Community Care Health Plan",2,5
"payer_name","Align Senior Care",2,5
"payer_name","Integrated Prescription Management (IPM)",2,5
"payer_name","Longevity Health",2,5
"payer_name","ProCare Advantage",2,5
"payer_name","Wyoming Medicaid",2,5
"payer_name","Montana Medicaid",2,5
"payer_name","Mayo Clinic",2,5
"payer_name","Complementary Health Care",2,5
"payer_name","Accountable HC (IPA)",2,4
"payer_name","Vaya Health",2,4
"payer_name","Clear Spring Health",2,4
"payer_name","Nebraska Medicaid",2,4
"payer_name","Denver Health",2,4
"payer_name","Santa Clara Family Health Plan",2,4
"payer_name","OhioHealth",2,4
"payer_name","Troy Medicare",2,4
"payer_name","Hennepin Health",2,3
"payer_name","Texas Independence Health Plan",2,3
"payer_name","Leon Health",2,3
"payer_name","New York Department of Health",2,3
"payer_name","AllCare (IPA)",2,3
"payer_name","Advanced Health",2,3
"payer_name","Aspirus Health Plan",2,3
"payer_name","Healthcare Partners (IPA)",2,3
"payer_name","Cascade Health Alliance",2,3
"payer_name","Lucent Health",2,3
"payer_name","Curaechoice, Inc",2,2
"payer_name","South Country Health Alliance",2,2
"payer_name","6 Degrees Health",2,2
"payer_name","EBMS",2,2
"payer_name","New Mexico Medicaid",2,2
"payer_name","Maryland Physicians Care",2,2
"payer_name","LifeWorks Advantage",2,2
"payer_name","Trillium Health Resources",2,2
"payer_name","Oregon Health and Science University",2,2
"payer_name","Alterwood Advantage",2,2
"payer_name","Colorado Access",2,2
"payer_name","Care N Care",2,2
"payer_name","CenterLight Healthcare",2,2
"payer_name","Chinese Community Health Plan",2,1
"payer_name","NeedyMeds",2,1
"payer_name","Rhode Island Department of Health",2,1
"payer_name","WithMe Health",2,1
"payer_name","Partners Health Management",2,1
"payer_name","United Physicians Network",2,1
"payer_name","Sendero Health Plans",2,1
"payer_name","Iowa Medicaid",2,1
"payer_name","Washington State Department of Health",2,1
"payer_name","Broward Health",2,1
"payer_name","Partners Health Plan",2,1
"payer_name","Advantage Care (IPA)",2,0
"payer_name","North Carolina Department of Health",2,0
"payer_name","Rios Southwest Medical Group",2,0
"payer_name","FliptRx",2,0
"payer_name","University of Michigan Health Plan",2,0
"payer_name","OnePoint Comp",2,0
"payer_name","San Francisco Health Plan",2,0
"payer_name","Delaware Division of Medicaid and Medical Assistance",2,0
"payer_name","Continental General",2,0
"payer_name","Community First Health Plans",2,0
"payer_name","Florida Complete Care",2,0
"payer_name","InfinityRx",2,0
"payer_name","KeyCare Advantage",2,0
"payer_name","Advanced Medical Doctors of California (IPA)",2,0
"payer_name","Other",3,274883
"payer_name","Centers for Medicare and Medicaid Services",3,126210
"payer_name","UnitedHealthcare",3,103488
"payer_name","Humana",3,49081
"payer_name","Aetna",3,40864
"payer_name","Centene Corporation",3,28596
"payer_name","Elevance Health",3,20229
"payer_name","Optum",3,14109
"payer_name","Cigna Healthcare",3,13311
"payer_name","Express Scripts",3,11457
"payer_name","Cash",3,9940
"payer_name","CVS Caremark",3,7813
"payer_name","Blue Cross Blue Shield Association",3,6847
"payer_name","Health Care Service Corporation",3,6380
"payer_name","GoodRx",3,5741
"payer_name","Florida Blue",3,5367
"payer_name","OmniSYS",3,5359
"payer_name","Priority Health",3,4455
"payer_name","Blue Shield of California",3,3851
"payer_name","Horizon Blue Cross Blue Shield of New Jersey",3,3285
"payer_name","Blue Cross Blue Shield of Michigan",3,3042
"payer_name","California Senior Care Action Network Health Plan",3,2781
"payer_name","Excellus BlueCross BlueShield",3,2127
"payer_name","Navitus Health Solutions",3,2025
"payer_name","MedImpact",3,1919
"payer_name","Blue Cross and Blue Shield of Alabama",3,1885
"payer_name","Alignment Health Plan",3,1807
"payer_name","Pharmacy Data Management",3,1610
"payer_name","Blue Cross and Blue Shield of North Carolina",3,1584
"payer_name","McKesson",3,1550
"payer_name","Paramount Rx",3,1463
"payer_name","Highmark Health",3,1446
"payer_name","Visory Health",3,1390
"payer_name","Cambia Health Solutions",3,1371
"payer_name","CareFirst BlueCross BlueShield",3,1343
"payer_name","BlueCross BlueShield of Tennessee",3,1341
"payer_name","UCare Minneapolis",3,1308
"payer_name","California Medicaid",3,1284
"payer_name","Blue Cross and Blue Shield of Minnesota",3,1273
"payer_name","Kaiser Permanente",3,1233
"payer_name","Molina Healthcare",3,1184
"payer_name","University of Pittsburgh Medical Center Health Plan",3,1101
"payer_name","Point32Health",3,1007
"payer_name","Blue Cross Blue Shield of Arizona",3,970
"payer_name","Providence",3,888
"payer_name","Blue Cross and Blue Shield of South Carolina",3,852
"payer_name","Script Care",3,851
"payer_name","Louisiana Blue",3,846
"payer_name","Scriptcycle",3,837
"payer_name","Hawaii Medical Service Association",3,822
"payer_name","Capital Rx",3,822
"payer_name","Cornerstone Benefits Administrator",3,818
"payer_name","Independence Blue Cross",3,808
"payer_name","Clever Rx",3,773
"payer_name","Oscar Health",3,700
"payer_name","Martin's Point Health Care",3,671
"payer_name","Blue Cross and Blue Shield of Rhode Island",3,638
"payer_name","Capital District Physicians' Health Plan",3,600
"payer_name","Medical Mutual of Ohio",3,587
"payer_name","Carle Health",3,571
"payer_name","ATRIO Health Plans",3,568
"payer_name","Viva Health",3,527
"payer_name","Healthfirst New York",3,498
"payer_name","Blue Cross and Blue Shield of Kansas",3,487
"payer_name","Regal Medical Group",3,481
"payer_name","New York Medicaid",3,476
"payer_name","Triple-S Management",3,471
"payer_name","Intermountain Health",3,470
"payer_name","Blue Cross of Idaho",3,458
"payer_name","WellDyne",3,458
"payer_name","Network Health",3,446
"payer_name","Renown Health",3,440
"payer_name","Mutual of Omaha",3,439
"payer_name","Blue Cross Blue Shield of Massachusetts",3,436
"payer_name","Los Angeles Care Health Plan",3,434
"payer_name","EmblemHealth",3,430
"payer_name","Wellmark Blue Cross and Blue Shield",3,420
"payer_name","Universal Health Services",3,410
"payer_name","Capital BlueCross",3,407
"payer_name","Independent Health",3,406
"payer_name","Blue Cross and Blue Shield of Nebraska",3,403
"payer_name","CareSource",3,387
"payer_name","RxSense",3,379
"payer_name","Blue Cross and Blue Shield of Mississippi",3,375
"payer_name","Sharp Healthcare",3,371
"payer_name","Banner Health",3,359
"payer_name","Farm Bureau Health Plans",3,358
"payer_name","Gensis Healthcare",3,350
"payer_name","Devoted Health",3,346
"payer_name","Sentara Health Plans",3,342
"payer_name","Medica",3,321
"payer_name","Presbyterian Healthcare Services",3,318
"payer_name","MVP Health Care",3,314
"payer_name","Premera Blue Cross",3,303
"payer_name","HealthPartners",3,295
"payer_name","Ascension Health System",3,294
"payer_name","EyeMed",3,286
"payer_name","Baylor Scott and White Health",3,276
"payer_name","Cardinal Health",3,268
"payer_name","Geisinger Health",3,257
"payer_name","ProCare Rx",3,245
"payer_name","Kern Family Health Care",3,235
"payer_name","Prime Therapeutics",3,233
"payer_name","Legacy Health",3,225
"payer_name","Trinity Health",3,218
"payer_name","Inland Empire Health Plan",3,203
"payer_name","Gainwell Technologies",3,202
"payer_name","American Specialty Health",3,199
"payer_name","AllCare Health",3,197
"payer_name","Blue Cross and Blue Shield of Kansas City",3,184
"payer_name","Wisconsin Medicaid",3,181
"payer_name","Arkansas Blue Cross and Blue Shield",3,175
"payer_name","CalOptima Health",3,175
"payer_name","AultCare Health Plans",3,172
"payer_name","Evernorth Health Services",3,163
"payer_name","Sanford Health",3,159
"payer_name","Colorado Medicaid",3,155
"payer_name","Missouri Medicaid",3,155
"payer_name","Hippo Technologies",3,149
"payer_name","Scripps Health",3,147
"payer_name","VytlOne",3,147
"payer_name","Georgia Medicaid",3,144
"payer_name","Mercy Care",3,143
"payer_name","North Carolina State Health Plan",3,142
"payer_name","Clover Health",3,142
"payer_name","Connecticut Medicaid",3,140
"payer_name","Cone Health",3,136
"payer_name","New York State Health Insurance Program",3,135
"payer_name","SmithRx",3,134
"payer_name","Ohio Medicaid",3,124
"payer_name","West Virginia Medicaid",3,124
"payer_name","Pharmastar",3,123
"payer_name","The Health Plan",3,123
"payer_name","Liviniti",3,121
"payer_name","North Carolina Medicaid",3,120
"payer_name","Blue Cross Blue Shield of Wyoming",3,107
"payer_name","Massachusetts Medicaid",3,106
"payer_name","Samaritan Health Services",3,102
"payer_name","BayCare Health Plans",3,102
"payer_name","Illinois Medicaid",3,100
"payer_name","Arkansas Medicaid",3,100
"payer_name","Texas Medicaid",3,100
"payer_name","SS&C Health",3,99
"payer_name","Johns Hopkins Health Plans",3,98
"payer_name","Michigan Medicaid",3,98
"payer_name","Summa Health",3,96
"payer_name","Dignity Health",3,94
"payer_name","Vision Services Plan",3,87
"payer_name","United Networks of America",3,87
"payer_name","Visiting Nurse Service Health",3,86
"payer_name","Blue Cross and Blue Shield of Vermont",3,85
"payer_name","McLaren Health Care",3,84
"payer_name","Rightway Health",3,84
"payer_name","BeneCard Prescription Benefit Facilitator",3,78
"payer_name","Alabama Medicaid",3,78
"payer_name","Partnership HealthPlan of California",3,76
"payer_name","Aspire Health Plan",3,74
"payer_name","Maine Medicaid",3,74
"payer_name","Ventegra",3,72
"payer_name","Memorial Hermann Health Plan",3,72
"payer_name","Oklahoma Medicaid",3,72
"payer_name","TrueScripts",3,72
"payer_name","Georgia State Health Benefit Plan",3,72
"payer_name","AmerisourceBergen",3,71
"payer_name","Valley Care (IPA)",3,71
"payer_name","Accessia Health",3,70
"payer_name","WellSense Health Plan",3,69
"payer_name","Kentucky Medicaid",3,68
"payer_name","Health Plan of San Joaquin",3,68
"payer_name","Jefferson Health",3,67
"payer_name","Sutter Health",3,65
"payer_name","Upper Peninsula Health Plan",3,63
"payer_name","Alliance Health",3,61
"payer_name","Partners for Health",3,60
"payer_name","Mississippi Medicaid",3,60
"payer_name","Indiana Medicaid",3,59
"payer_name","North Dakota Medicaid",3,57
"payer_name","Central California Alliance for Health",3,57
"payer_name","Fallon Health",3,56
"payer_name","CHRISTUS Health",3,56
"payer_name","Gold Coast Health Plan",3,53
"payer_name","Health First",3,53
"payer_name","Oregon Medicaid",3,53
"payer_name","Health Plan of San Mateo",3,52
"payer_name","Mass General Brigham",3,52
"payer_name","Nevada Medicaid",3,52
"payer_name","Quartz Health Solutions",3,51
"payer_name","Alliant Health Plans",3,51
"payer_name","Geico",3,49
"payer_name","Baystate Health",3,48
"payer_name","CareOregon",3,48
"payer_name","Blue Cross Blue Shield of North Dakota",3,48
"payer_name","Washington Medicaid",3,47
"payer_name","Florida Medicaid",3,47
"payer_name","Moda Health",3,45
"payer_name","CerpassRx",3,44
"payer_name","Minnesota Medicaid",3,44
"payer_name","Solis Health Plans",3,43
"payer_name","VillageCareMAX",3,41
"payer_name","Essence Healthcare",3,40
"payer_name","Employee Health Insurance Management",3,40
"payer_name","Blue Care Network",3,40
"payer_name","Employers Health Options",3,39
"payer_name","Torrance Hospital (IPA)",3,39
"payer_name","Community Health Group",3,38
"payer_name","Doctors HealthCare Plans",3,38
"payer_name","New York City Health + Hospitals",3,35
"payer_name","Kansas Medicaid",3,35
"payer_name","Phoenix Pharmacy Benefits Management",3,33
"payer_name","South Carolina Medicaid",3,33
"payer_name","Idaho Medicaid",3,32
"payer_name","Opus Health",3,31
"payer_name","Commonwealth of Pennsylvania",3,30
"payer_name","Health Partners",3,29
"payer_name","Community Health Plan of Washington",3,29
"payer_name","Restat",3,28
"payer_name","Clever Care Health Plan",3,28
"payer_name","Alameda Alliance for Health",3,27
"payer_name","Zing Health",3,26
"payer_name","Florida Community Care",3,26
"payer_name","Hawaii Medicaid",3,25
"payer_name","Elderplan and HomeFirst",3,24
"payer_name","Utah Medicaid",3,24
"payer_name","Louisiana Medicaid",3,23
"payer_name","Advanced Medical Management (IPA)",3,22
"payer_name","Vermont Medicaid",3,21
"payer_name","Community Health Choice",3,21
"payer_name","New Jersey Department of Health",3,20
"payer_name","University of Utah Health",3,20
"payer_name","Rhode Island Medicaid",3,19
"payer_name","Ochsner Health",3,19
"payer_name","AmeriHealth Caritas PA",3,19
"payer_name","Curative Health Plan",3,18
"payer_name","AlohaCare",3,18
"payer_name","Medical Card System",3,17
"payer_name","Virginia Medicaid",3,17
"payer_name","Employee Health Options",3,17
"payer_name","West Virginia University Medicine",3,16
"payer_name","Avera Health Plans",3,16
"payer_name","MedOne",3,16
"payer_name","Adventist Health Care Network (IPA)",3,15
"payer_name","Alaska Medicaid",3,15
"payer_name","Maryland Medicaid",3,15
"payer_name","New Jersey Medicaid",3,15
"payer_name","Neighborhood Health Plan of Rhode Island",3,15
"payer_name","Citizens Rx",3,15
"payer_name","Health Alliance Plan",3,14
"payer_name","RxCut",3,14
"payer_name","Buckeye Health",3,14
"payer_name","Advocate Physician Partners (PHO)",3,14
"payer_name","ConnectiveRx",3,14
"payer_name","PharmPix",3,14
"payer_name","State Farm",3,14
"payer_name","Access Medical Group (IPA)",3,14
"payer_name","Contra Costa Health",3,13
"payer_name","Disclosed Rx",3,13
"payer_name","Amazon",3,13
"payer_name","Hamaspik",3,13
"payer_name","UMass Memorial Health",3,13
"payer_name","AscellaHealth",3,12
"payer_name","Ohio Health",3,12
"payer_name","American Health Partners",3,11
"payer_name","Jai Medical Systems Managed Care Organization",3,11
"payer_name","Mountain Health CO-OP",3,11
"payer_name","HealthSmartRx Solutions",3,11
"payer_name","CalCPA",3,10
"payer_name","South Dakota Medicaid",3,10
"payer_name","Cascade Health Alliance",7,0
"payer_name","Iowa Medicaid",7,0
"payer_name","Ramsell",7,0
"payer_name","Sutter Health",7,0
"payer_name","Community Health Choice",7,0
"payer_name","AscellaHealth",7,0
"payer_name","Advocate Physician Partners (PHO)",7,0
"payer_name","New Mexico Medicaid",7,0
"payer_name","Santa Clara Family Health Plan",7,0
"payer_name","Simpra Advantage",7,0
"payer_name","United Physicians Network",7,0
"payer_name","Nebraska Medicaid",7,0
"payer_name","San Francisco Health Plan",7,0
"payer_name","Healthcare Partners (IPA)",7,0
"payer_name","Wyoming Medicaid",7,0
"payer_name","Partners Health Management",7,0
"payer_name","Vaya Health",7,0
"payer_name","Commonwealth of Pennsylvania",7,0
"payer_name","Florida Medicaid",7,0
"payer_name","LifeWorks Advantage",7,0
"payer_name","WithMe Health",7,0
"payer_name","TrueScripts",7,0
"payer_name","HealthSmartRx Solutions",7,0
"payer_name","Complementary Health Care",7,0
"payer_name","CHRISTUS Health",7,0
"payer_name","Aspirus Health Plan",7,0
"payer_name","University of Michigan Health Plan",7,0
"payer_name","New York State Health Insurance Program",7,0
"payer_name","Partners for Health",7,0
"payer_name","Idaho Medicaid",7,0
"payer_name","Citizens Rx",7,0
"payer_name","Opus Health",7,0
"payer_name","Change Healthcare",7,0
"payer_name","SmithRx",7,0
"payer_name","Baystate Health",7,0
"payer_name","Mountain Health CO-OP",7,0
"payer_name","State Farm",7,0
"payer_name","American Health Partners",7,0
"payer_name","Care N Care",7,0
"payer_name","Community Care Health Plan",7,0
"payer_name","Ohio Health",7,0
"payer_name","Accessia Health",7,0
"payer_name","Illinois Medicaid",7,0
"payer_name","Partnership HealthPlan of California",7,0
"payer_name","Broward Health",7,0
"payer_name","Leon Health",7,0
"payer_name","Maryland Physicians Care",7,0
"payer_name","Georgia State Health Benefit Plan",7,0
"payer_name","Denver Health",7,0
"payer_name","New York City Health + Hospitals",7,0
"payer_name","Trillium Health Resources",7,0
"payer_name","Hennepin Health",7,0
"payer_name","Samaritan Health Plans",7,0
"payer_name","MedOne",7,0
"payer_name","Longevity Health",7,0
"payer_name","Upper Peninsula Health Plan",7,0
"payer_name","Fallon Health",7,0
"payer_name","AllCare (IPA)",7,0
"payer_name","Jai Medical Systems Managed Care Organization",7,0
"payer_name","OhioHealth",7,0
"payer_name","Health Alliance Plan",7,0
"payer_name","Advanced Health",7,0
"payer_type","Medicare",1,1007993
"payer_type","Commercial",1,637009
"payer_type","Other",1,219690
"payer_type","Government",1,42271
"payer_type","Assistance Program",1,37529
"payer_type","Medicaid",1,36561
"payer_type","Cash",1,31508
"payer_type","Medicare",2,421971
"payer_type","Commercial",2,249620
"payer_type","Other",2,107399
"payer_type","Government",2,14592
"payer_type","Medicaid",2,13469
"payer_type","Assistance Program",2,13313
"payer_type","Cash",2,11953
"payer_type","Medicare",3,415442
"payer_type","Commercial",3,245358
"payer_type","Other",3,105980
"payer_type","Government",3,14343
"payer_type","Medicaid",3,13222
"payer_type","Assistance Program",3,13079
"payer_type","Cash",3,11659
"payer_type","Medicare",4,27735
"payer_type","Commercial",4,18103
"payer_type","Other",4,8515
"payer_type","Medicaid",4,1563
"payer_type","Assistance Program",4,951
"payer_type","Cash",4,874
"payer_type","Government",4,744
"payer_type","Medicare",5,8927
"payer_type","Commercial",5,6270
"payer_type","Other",5,2963
"payer_type","Medicaid",5,624
"payer_type","Cash",5,323
"payer_type","Assistance Program",5,308
"payer_type","Government",5,225
"payer_type","Medicare",6,7903
"payer_type","Commercial",6,5489
"payer_type","Other",6,2543
"payer_type","Medicaid",6,557
"payer_type","Cash",6,276
"payer_type","Assistance Program",6,266
"payer_type","Government",6,194
"payer_type","Medicare",7,3539
"payer_type","Commercial",7,2353
"payer_type","Other",7,1059
"payer_type","Medicaid",7,240
"payer_type","Assistance Program",7,117
"payer_type","Cash",7,112
"payer_type","Government",7,88
"region","South",1,889255
"region","West",1,450749
"region","Midwest",1,376021
"region","Northeast",1,290804
"region","Unknown",1,5732
"region","South",2,364754
"region","West",2,191216
"region","Midwest",2,155248
"region","Northeast",2,118945
"region","Unknown",2,2154
"region","South",3,359053
"region","West",3,188230
"region","Midwest",3,152689
"region","Northeast",3,116991
"region","Unknown",3,2120
"region","South",4,24832
"region","West",4,14567
"region","Midwest",4,10916
"region","Northeast",4,7999
"region","Unknown",4,171
"region","South",5,7888
"region","West",5,4819
"region","Midwest",5,3860
"region","Northeast",5,2999
"region","Unknown",5,74
"region","South",6,6897
"region","West",6,4257
"region","Midwest",6,3373
"region","Northeast",6,2633
"region","Unknown",6,68
"region","South",7,2997
"region","West",7,1911
"region","Midwest",7,1419
"region","Northeast",7,1161
"region","Unknown",7,20
"state","FL",1,246266
"state","CA",1,200138
"state","TX",1,150295
"state","NY",1,91076
"state","OH",1,77676
"state","PA",1,75542
"state","AZ",1,73507
"state","MI",1,64507
"state","NC",1,63316
"state","GA",1,61263
"state","VA",1,53085
"state","TN",1,47881
"state","SC",1,45705
"state","IL",1,44934
"state","NJ",1,42950
"state","AL",1,42604
"state","MO",1,40480
"state","WA",1,37042
"state","IN",1,37021
"state","CO",1,36636
"state","KY",1,34634
"state","WI",1,32571
"state","LA",1,31271
"state","OK",1,28747
"state","MA",1,26055
"state","OR",1,24067
"state","MD",1,23891
"state","MN",1,22255
"state","NV",1,20562
"state","CT",1,20361
"state","AR",1,19656
"state","MS",1,19186
"state","IA",1,18372
"state","UT",1,17745
"state","KS",1,16646
"state","ME",1,13623
"state","NE",1,12943
"state","WV",1,11484
"state","ID",1,10971
"state","NH",1,10266
"state","NM",1,9690
"state","HI",1,8956
"state","DE",1,8335
"state","RI",1,6743
"state","SD",1,5998
"state","MT",1,5899
"state","VT",1,4188
"state","Unknown",1,3899
"state","WY",1,3694
"state","ND",1,2618
"state","AK",1,1842
"state","PR",1,1653
"state","DC",1,1636
"state","GU",1,180
"state","FL",2,108004
"state","CA",2,89970
"state","TX",2,59390
"state","NY",2,38255
"state","OH",2,31868
"state","AZ",2,31521
"state","PA",2,29850
"state","MI",2,28665
"state","GA",2,24757
"state","NC",2,24306
"state","VA",2,20600
"state","SC",2,20229
"state","TN",2,19236
"state","AL",2,18620
"state","IL",2,17585
"state","MO",2,16928
"state","NJ",2,16821
"state","IN",2,15542
"state","CO",2,15198
"state","KY",2,13991
"state","WI",2,13787
"state","WA",2,13759
"state","LA",2,12256
"state","OK",2,11274
"state","MA",2,10170
"state","OR",2,9584
"state","MN",2,9217
"state","NV",2,9086
"state","CT",2,8899
"state","MD",2,8734
"state","MS",2,7631
"state","IA",2,7314
"state","AR",2,7214
"state","UT",2,6511
"state","KS",2,6288
"state","ME",2,6111
"state","NE",2,4751
"state","NH",2,4684
"state","WV",2,4530
"state","ID",2,3987
"state","NM",2,3835
"state","HI",2,3670
"state","DE",2,3422
"state","RI",2,2553
"state","SD",2,2383
"state","MT",2,1845
"state","VT",2,1602
"state","Unknown",2,1514
"state","WY",2,1497
"state","ND",2,920
"state","AK",2,753
"state","PR",2,569
"state","DC",2,560
"state","GU",2,71
"state","FL",3,106459
"state","CA",3,88583
"state","TX",3,58376
"state","NY",3,37714
"state","OH",3,31389
"state","AZ",3,31046
"state","PA",3,29340
"state","MI",3,28254
"state","GA",3,24433
"state","NC",3,23878
"state","VA",3,20245
"state","SC",3,19926
"state","TN",3,18913
"state","AL",3,18310
"state","IL",3,17245
"state","MO",3,16684
"state","NJ",3,16551
"state","IN",3,15283
"state","CO",3,14942
"state","KY",3,13829
"state","WI",3,13567
"state","WA",3,13526
"state","LA",3,12086
"state","OK",3,11104
"state","MA",3,9962
"state","OR",3,9432
"state","MN",3,8994
"state","NV",3,8976
"state","CT",3,8772
"state","MD",3,8528
"state","MS",3,7513
"state","IA",3,7191
"state","AR",3,7072
"state","UT",3,6404
"state","KS",3,6186
"state","ME",3,6026
"state","NE",3,4669
"state","NH",3,4583
"state","WV",3,4439
"state","ID",3,3921
"state","NM",3,3747
"state","HI",3,3632
"state","DE",3,3392
"state","RI",3,2493
"state","SD",3,2333
"state","MT",3,1806
"state","VT",3,1550
"state","Unknown",3,1488
"state","WY",3,1472
"state","ND",3,894
"state","AK",3,743
"state","PR",3,562
"state","DC",3,550
"state","GU",3,70
"state","FL",4,7056
"state","CA",4,6371
"state","TX",4,3749
"state","AZ",4,2992
"state","NY",4,2427
"state","OH",4,2329
"state","MI",4,2050
"state","PA",4,1906
"state","SC",4,1793
"state","VA",4,1755
"state","NC",4,1668
"state","GA",4,1515
"state","CO",4,1475
"state","AL",4,1380
"state","TN",4,1217
"state","NJ",4,1166
"state","IL",4,1129
"state","IN",4,1116
"state","WI",4,1014
"state","MO",4,995
"state","WA",4,977
